size lang var cont dim AUC SD	
10% Japanese 13 20 20 0.621879544863 0.0289802761592
10% Japanese 13 20 50 0.631733408325 0.0242285474739
10% Japanese 13 20 100 0.660438377302 0.0299779365308
10% Japanese 13 20 200 0.64622553286 0.0245114411995
10% Japanese 13 20 500 0.644407233087 0.0267078941345
10% Japanese 25 20 5 0.792980233448 0.014278586244
10% Japanese 25 20 10 0.834712053045 0.0115209326202
10% Japanese 25 20 20 0.861323618333 0.0115600412613
10% Japanese 25 20 50 0.862751171336 0.0100479284781
10% Japanese 25 20 100 0.837678915194 0.0115327273527
10% Japanese 25 20 200 0.797339214647 0.00966777483395
10% Japanese 25 20 500 0.79079466737 0.0127373948229
10% Japanese 50 20 5 0.766962035279 0.0101709421193
10% Japanese 50 20 10 0.802471693766 0.00987387897365
10% Japanese 50 20 20 0.838487936352 0.00866433380962
10% Japanese 50 20 50 0.835564945024 0.00817298576671
10% Japanese 50 20 100 0.816020299594 0.00933485056061
10% Japanese 50 20 200 0.77834336928 0.00892422796473
10% Japanese 50 20 500 0.768248868174 0.0086814641082
10% Japanese 100 20 5 0.75394455676 0.00997702085636
10% Japanese 100 20 10 0.791739005524 0.0100167334659
10% Japanese 100 20 20 0.822823295154 0.00816142475414
10% Japanese 100 20 50 0.816371776397 0.00920080620556
10% Japanese 100 20 100 0.793206901659 0.00906422268897
10% Japanese 100 20 200 0.758393645732 0.009844429145
10% Japanese 100 20 500 0.740679380266 0.00921811364878
10% Japanese 200 20 5 0.704182405353 0.0105766760596
10% Japanese 200 20 10 0.750884117082 0.00987412032697
10% Japanese 200 20 20 0.791030776128 0.00803104337071
10% Japanese 200 20 50 0.778795292278 0.00896646883927
10% Japanese 200 20 100 0.755798000651 0.00889843541253
10% Japanese 200 20 200 0.717794367732 0.0101624731674
10% Japanese 200 20 500 0.685171637303 0.0100252315383
10% English 2 200 5 0.50310222304 0.055595822541
10% English 2 200 10 0.501801287233 0.0558903588015
10% English 2 200 20 0.497355230794 0.053154029101
10% English 2 200 50 0.484918211859 0.0508847963779
10% English 2 200 100 0.488768321232 0.0447545678698
10% English 2 200 200 0.479663989371 0.0514491175343
10% English 2 200 500 0.480134941197 0.0566246053244
10% English 4 200 5 0.514243323122 0.0435492142018
10% English 4 200 10 0.506804336667 0.0423647680683
10% English 4 200 20 0.536359732654 0.0443774819707
10% English 4 200 50 0.539703441265 0.0421723113743
10% English 4 200 100 0.535662272138 0.0477372308962
10% English 4 200 200 0.533191425962 0.0447369144935
10% English 4 200 500 0.538589618702 0.0499208718035
10% English 10 200 5 0.511292682383 0.0294885863125
10% English 10 200 10 0.55447837714 0.0333024562945
10% English 10 200 20 0.531619361617 0.0333841396955
10% English 10 200 50 0.534716389846 0.0318107050175
10% English 10 200 100 0.53685236704 0.0321774368643
10% English 10 200 200 0.540345378703 0.0301842263483
10% English 10 200 500 0.531422053471 0.0318416919293
10% English 19 200 5 0.525216948988 0.0394252925815
10% English 19 200 10 0.542179369526 0.0301874061166
10% English 19 200 20 0.55426230382 0.0299783488545
10% English 19 200 50 0.577083868382 0.0381678433859
10% English 19 200 100 0.578733671389 0.0338390089391
10% English 19 200 200 0.580451658136 0.0333224084245
10% English 19 200 500 0.578884413769 0.0310710561719
10% English 41 200 5 0.704759274972 0.0142801852368
10% English 41 200 10 0.72539208569 0.0147687287628
10% English 41 200 20 0.720749152258 0.0157557548356
10% English 41 200 50 0.722826269234 0.0143716494109
10% English 41 200 100 0.728071356881 0.0153758055117
10% English 41 200 200 0.724553700001 0.0138140796702
10% English 41 200 500 0.726941046322 0.0118849493711
10% English 80 200 5 0.685470325482 0.0152143423946
10% English 80 200 10 0.705833328244 0.0150808998859
10% English 80 200 20 0.696974055771 0.0162880222874
10% English 80 200 50 0.69706109821 0.0152944639155
10% English 80 200 100 0.698261862982 0.015615525938
10% English 80 200 200 0.69373507798 0.0137443550583
10% English 80 200 500 0.698834959834 0.0157959900607
10% English 160 200 5 0.690962065395 0.0155336318069
10% English 160 200 10 0.699445441749 0.0162930924603
10% English 160 200 20 0.691932395713 0.013054617637
10% English 160 200 50 0.693637788223 0.0143691925448
10% English 160 200 100 0.69339738338 0.0141008208846
10% English 160 200 200 0.695517916927 0.0141841767361
10% English 160 200 500 0.698521986721 0.0141790779945
10% English 320 200 5 0.665789506237 0.0126475497814
10% English 320 200 10 0.666996494783 0.0144618140611
10% English 320 200 20 0.665174233219 0.014304488507
10% English 320 200 50 0.666715791658 0.0127342999136
10% English 320 200 100 0.664514966742 0.0132137425933
10% English 320 200 200 0.665085235656 0.0146630493267
10% English 320 200 500 0.663779940922 0.0138844489778
10% English 2 500 5 0.497608314593 0.0650044071291
10% English 2 500 10 0.471776241709 0.0537368357758
10% English 2 500 20 0.472986906063 0.0535214776379
10% English 2 500 50 0.470656296552 0.0499411859867
10% English 2 500 100 0.465447906639 0.058398233662
10% English 2 500 200 0.476571886917 0.0563473359459
10% English 2 500 500 0.475524037343 0.0524800874097
10% English 4 500 5 0.47349441189 0.0564714906705
10% English 4 500 10 0.472085195281 0.042305480093
10% English 4 500 20 0.485263528203 0.0455792433307
10% English 4 500 50 0.48317990988 0.0446541312747
10% English 4 500 100 0.484064044713 0.0466418814062
10% English 4 500 200 0.477077534509 0.0462610922565
10% English 4 500 500 0.474691417043 0.0406651886347
10% English 10 500 5 0.470416306725 0.0330259146063
10% English 10 500 10 0.489146192223 0.0328039547581
10% English 10 500 20 0.496177658789 0.0314692554306
10% English 10 500 50 0.491268380374 0.0329117792933
10% English 10 500 100 0.497681062939 0.0316595940636
10% English 10 500 200 0.488011256428 0.0320398634058
10% English 10 500 500 0.493038480299 0.0374025786276
10% English 19 500 5 0.400747204593 0.0360381176121
10% English 19 500 10 0.408511074397 0.0391486236439
10% English 19 500 20 0.410586925858 0.0341022500537
10% English 19 500 50 0.41165514584 0.0397544338189
10% English 19 500 100 0.41129011167 0.0408592590567
10% English 19 500 200 0.413312598343 0.0387753305177
10% English 19 500 500 0.4063198162 0.0374824566768
10% English 41 500 5 0.61241115353 0.0171487598132
10% English 41 500 10 0.633968992757 0.0145983972482
10% English 41 500 20 0.636043953219 0.0171475137524
10% English 41 500 50 0.636361593725 0.0142540726478
10% English 41 500 100 0.634048977392 0.0160968325485
10% English 41 500 200 0.637505412151 0.0146451318906
